"period","zone","group","measure","value"
"2003-2005","S01001964","Former Smoker","Ratio",0
"2001-2003","S01001964","Current Smoker","Ratio","3.7"
"2008-2010","S01001964","Former Smoker","Ratio","5.71"
"2006-2008","S01001964","Not Known If Smoking","Ratio",0
"2010-2012","S01001964","Former Smoker","Ratio","14.29"
"2011-2013","S01001964","Former Smoker","Ratio","27.5"
"2006-2008","S01001964","Former Smoker","Ratio",5
"2001-2003","S01001964","Former Smoker","Ratio",0
"2007-2009","S01001964","Current Smoker","Ratio","6.9"
"2009-2011","S01001964","Former Smoker","Ratio","8.82"
"2010-2012","S01001964","Current Smoker","Ratio",0
"2002-2004","S01001964","Never Smoked","Ratio","77.78"
"2007-2009","S01001964","Never Smoked","Ratio","72.41"
"2007-2009","S01001964","Not Known If Smoking","Ratio","17.24"
"2008-2010","S01001964","Not Known If Smoking","Ratio",20
"2011-2013","S01001964","Current Smoker","Ratio","2.5"
"2008-2010","S01001964","Never Smoked","Ratio","71.43"
"2009-2011","S01001964","Never Smoked","Ratio","67.65"
"2000-2002","S01001964","Never Smoked","Ratio","45.83"
"2008-2010","S01001964","Current Smoker","Ratio","2.86"
"2003-2005","S01001964","Never Smoked","Ratio","82.86"
"2009-2011","S01001964","Not Known If Smoking","Ratio","23.53"
"2010-2012","S01001964","Not Known If Smoking","Ratio","8.57"
"2004-2006","S01001964","Never Smoked","Ratio","91.3"
"2000-2002","S01001964","Current Smoker","Ratio","20.83"
"2002-2004","S01001964","Current Smoker","Ratio","7.41"
"2001-2003","S01001964","Never Smoked","Ratio","70.37"
"2000-2002","S01001964","Not Known If Smoking","Ratio",25
"2010-2012","S01001964","Never Smoked","Ratio","77.14"
"2005-2007","S01001964","Never Smoked","Ratio","87.5"
"2006-2008","S01001964","Never Smoked","Ratio",85
"2004-2006","S01001964","Current Smoker","Ratio","8.7"
"2011-2013","S01001964","Never Smoked","Ratio","67.5"
"2011-2013","S01001964","Not Known If Smoking","Ratio","2.5"
"2001-2003","S01001965","Former Smoker","Count",1
"2004-2006","S01001965","Former Smoker","Count",2
"2000-2002","S01001965","Former Smoker","Count",2
"2009-2011","S01001965","Former Smoker","Count",3
"2002-2004","S01001965","Former Smoker","Count",1
"2007-2009","S01001965","Former Smoker","Count",1
"2005-2007","S01001965","Former Smoker","Count",2
"2008-2010","S01001965","Former Smoker","Count",3
"2010-2012","S01001965","Former Smoker","Count",5
"2003-2005","S01001965","Former Smoker","Count",0
"2011-2013","S01001965","Former Smoker","Count",4
"2006-2008","S01001965","Former Smoker","Count",3
"2009-2011","S01001965","Never Smoked","Count",14
"2002-2004","S01001965","Never Smoked","Count",9
"2007-2009","S01001965","Never Smoked","Count",19
"2008-2010","S01001965","Never Smoked","Count",21
"2000-2002","S01001965","Never Smoked","Count",6
"2003-2005","S01001965","Never Smoked","Count",6
"2004-2006","S01001965","Never Smoked","Count",8
"2001-2003","S01001965","Never Smoked","Count",6
"2011-2013","S01001965","Never Smoked","Count",17
"2005-2007","S01001965","Never Smoked","Count",12
"2006-2008","S01001965","Never Smoked","Count",20
"2010-2012","S01001965","Never Smoked","Count",19
"2001-2003","S01001965","Not Known If Smoking","Count",13
"2002-2004","S01001965","Not Known If Smoking","Count",5
"2003-2005","S01001965","Not Known If Smoking","Count",5
"2004-2006","S01001965","Not Known If Smoking","Count",1
"2005-2007","S01001965","Not Known If Smoking","Count",1
"2006-2008","S01001965","Not Known If Smoking","Count",0
"2007-2009","S01001965","Not Known If Smoking","Count",0
"2008-2010","S01001965","Not Known If Smoking","Count",3
"2009-2011","S01001965","Not Known If Smoking","Count",3
"2010-2012","S01001965","Not Known If Smoking","Count",3
"2000-2002","S01001965","Not Known If Smoking","Count",10
"2011-2013","S01001965","Not Known If Smoking","Count",0
"2006-2008","S01001965","Current Smoker","Count",4
"2002-2004","S01001965","Current Smoker","Count",3
"2005-2007","S01001965","Current Smoker","Count",5
"2010-2012","S01001965","Current Smoker","Count",7
"2000-2002","S01001965","Current Smoker","Count",3
"2004-2006","S01001965","Current Smoker","Count",3
"2003-2005","S01001965","Current Smoker","Count",4
"2001-2003","S01001965","Current Smoker","Count",2
"2011-2013","S01001965","Current Smoker","Count",8
"2008-2010","S01001965","Current Smoker","Count",3
"2009-2011","S01001965","Current Smoker","Count",3
"2007-2009","S01001965","Current Smoker","Count",4
"2001-2003","S01001965","Not Known If Smoking","Ratio","59.09"
"2000-2002","S01001965","Former Smoker","Ratio","9.52"
"2003-2005","S01001965","Current Smoker","Ratio","26.67"
"2004-2006","S01001965","Former Smoker","Ratio","14.29"
"2002-2004","S01001965","Not Known If Smoking","Ratio","27.78"
"2009-2011","S01001965","Current Smoker","Ratio","13.04"
"2007-2009","S01001965","Former Smoker","Ratio","4.17"
"2006-2008","S01001965","Current Smoker","Ratio","14.81"
"2003-2005","S01001965","Not Known If Smoking","Ratio","33.33"
"2004-2006","S01001965","Not Known If Smoking","Ratio","7.14"
"2005-2007","S01001965","Current Smoker","Ratio",25
"2002-2004","S01001965","Former Smoker","Ratio","5.56"
"2005-2007","S01001965","Not Known If Smoking","Ratio",5
"2005-2007","S01001965","Former Smoker","Ratio",10
"2003-2005","S01001965","Former Smoker","Ratio",0
"2001-2003","S01001965","Current Smoker","Ratio","9.09"
"2008-2010","S01001965","Former Smoker","Ratio",10
"2006-2008","S01001965","Not Known If Smoking","Ratio",0
"2010-2012","S01001965","Former Smoker","Ratio","14.71"
"2011-2013","S01001965","Former Smoker","Ratio","13.79"
"2006-2008","S01001965","Former Smoker","Ratio","11.11"
"2001-2003","S01001965","Former Smoker","Ratio","4.55"
"2007-2009","S01001965","Current Smoker","Ratio","16.67"
"2009-2011","S01001965","Former Smoker","Ratio","13.04"
"2010-2012","S01001965","Current Smoker","Ratio","20.59"
"2002-2004","S01001965","Never Smoked","Ratio",50
"2007-2009","S01001965","Never Smoked","Ratio","79.17"
"2007-2009","S01001965","Not Known If Smoking","Ratio",0
"2008-2010","S01001965","Not Known If Smoking","Ratio",10
"2011-2013","S01001965","Current Smoker","Ratio","27.59"
"2008-2010","S01001965","Never Smoked","Ratio",70
"2009-2011","S01001965","Never Smoked","Ratio","60.87"
"2000-2002","S01001965","Never Smoked","Ratio","28.57"
"2008-2010","S01001965","Current Smoker","Ratio",10
"2003-2005","S01001965","Never Smoked","Ratio",40
"2009-2011","S01001965","Not Known If Smoking","Ratio","13.04"
"2010-2012","S01001965","Not Known If Smoking","Ratio","8.82"
"2004-2006","S01001965","Never Smoked","Ratio","57.14"
"2000-2002","S01001965","Current Smoker","Ratio","14.29"
"2002-2004","S01001965","Current Smoker","Ratio","16.67"
"2001-2003","S01001965","Never Smoked","Ratio","27.27"
"2000-2002","S01001965","Not Known If Smoking","Ratio","47.62"
"2010-2012","S01001965","Never Smoked","Ratio","55.88"
"2005-2007","S01001965","Never Smoked","Ratio",60
"2006-2008","S01001965","Never Smoked","Ratio","74.07"
"2004-2006","S01001965","Current Smoker","Ratio","21.43"
"2011-2013","S01001965","Never Smoked","Ratio","58.62"
"2011-2013","S01001965","Not Known If Smoking","Ratio",0
"2001-2003","S01001966","Former Smoker","Count",2
"2004-2006","S01001966","Former Smoker","Count",0
"2000-2002","S01001966","Former Smoker","Count",2
"2009-2011","S01001966","Former Smoker","Count",5
"2002-2004","S01001966","Former Smoker","Count",1
"2007-2009","S01001966","Former Smoker","Count",1
"2005-2007","S01001966","Former Smoker","Count",1
"2008-2010","S01001966","Former Smoker","Count",3
"2010-2012","S01001966","Former Smoker","Count",13
"2003-2005","S01001966","Former Smoker","Count",0
"2011-2013","S01001966","Former Smoker","Count",18
"2006-2008","S01001966","Former Smoker","Count",1
"2009-2011","S01001966","Never Smoked","Count",34
"2002-2004","S01001966","Never Smoked","Count",14
"2007-2009","S01001966","Never Smoked","Count",49
"2008-2010","S01001966","Never Smoked","Count",40
"2000-2002","S01001966","Never Smoked","Count",6
"2003-2005","S01001966","Never Smoked","Count",24
"2004-2006","S01001966","Never Smoked","Count",33
"2001-2003","S01001966","Never Smoked","Count",10
"2011-2013","S01001966","Never Smoked","Count",40
"2005-2007","S01001966","Never Smoked","Count",39
"2006-2008","S01001966","Never Smoked","Count",45
"2010-2012","S01001966","Never Smoked","Count",30
"2001-2003","S01001966","Not Known If Smoking","Count",16
"2002-2004","S01001966","Not Known If Smoking","Count",5
"2003-2005","S01001966","Not Known If Smoking","Count",2
"2004-2006","S01001966","Not Known If Smoking","Count",1
"2005-2007","S01001966","Not Known If Smoking","Count",1
"2006-2008","S01001966","Not Known If Smoking","Count",4
"2007-2009","S01001966","Not Known If Smoking","Count",11
"2008-2010","S01001966","Not Known If Smoking","Count",24
"2009-2011","S01001966","Not Known If Smoking","Count",24
"2010-2012","S01001966","Not Known If Smoking","Count",18
"2000-2002","S01001966","Not Known If Smoking","Count",21
"2011-2013","S01001966","Not Known If Smoking","Count",4
"2006-2008","S01001966","Current Smoker","Count",18
"2002-2004","S01001966","Current Smoker","Count",14
"2005-2007","S01001966","Current Smoker","Count",18
"2010-2012","S01001966","Current Smoker","Count",22
"2000-2002","S01001966","Current Smoker","Count",10
"2004-2006","S01001966","Current Smoker","Count",13
"2003-2005","S01001966","Current Smoker","Count",17
"2001-2003","S01001966","Current Smoker","Count",12
"2011-2013","S01001966","Current Smoker","Count",26
"2008-2010","S01001966","Current Smoker","Count",9
"2009-2011","S01001966","Current Smoker","Count",12
"2007-2009","S01001966","Current Smoker","Count",15
"2001-2003","S01001966","Not Known If Smoking","Ratio",40
"2000-2002","S01001966","Former Smoker","Ratio","5.13"
"2003-2005","S01001966","Current Smoker","Ratio","39.53"
"2004-2006","S01001966","Former Smoker","Ratio",0
"2002-2004","S01001966","Not Known If Smoking","Ratio","14.71"
"2009-2011","S01001966","Current Smoker","Ratio",16
"2007-2009","S01001966","Former Smoker","Ratio","1.32"
"2006-2008","S01001966","Current Smoker","Ratio","26.47"
"2003-2005","S01001966","Not Known If Smoking","Ratio","4.65"
"2004-2006","S01001966","Not Known If Smoking","Ratio","2.13"
"2005-2007","S01001966","Current Smoker","Ratio","30.51"
"2002-2004","S01001966","Former Smoker","Ratio","2.94"
"2005-2007","S01001966","Not Known If Smoking","Ratio","1.69"
"2005-2007","S01001966","Former Smoker","Ratio","1.69"
"2003-2005","S01001966","Former Smoker","Ratio",0
"2001-2003","S01001966","Current Smoker","Ratio",30
"2008-2010","S01001966","Former Smoker","Ratio","3.95"
"2006-2008","S01001966","Not Known If Smoking","Ratio","5.88"
"2010-2012","S01001966","Former Smoker","Ratio","15.66"
"2011-2013","S01001966","Former Smoker","Ratio","20.45"
"2006-2008","S01001966","Former Smoker","Ratio","1.47"
"2001-2003","S01001966","Former Smoker","Ratio",5
"2007-2009","S01001966","Current Smoker","Ratio","19.74"
"2009-2011","S01001966","Former Smoker","Ratio","6.67"
"2010-2012","S01001966","Current Smoker","Ratio","26.51"
"2002-2004","S01001966","Never Smoked","Ratio","41.18"
"2007-2009","S01001966","Never Smoked","Ratio","64.47"
"2007-2009","S01001966","Not Known If Smoking","Ratio","14.47"
"2008-2010","S01001966","Not Known If Smoking","Ratio","31.58"
"2011-2013","S01001966","Current Smoker","Ratio","29.55"
"2008-2010","S01001966","Never Smoked","Ratio","52.63"
"2009-2011","S01001966","Never Smoked","Ratio","45.33"
"2000-2002","S01001966","Never Smoked","Ratio","15.38"
"2008-2010","S01001966","Current Smoker","Ratio","11.84"
"2003-2005","S01001966","Never Smoked","Ratio","55.81"
"2009-2011","S01001966","Not Known If Smoking","Ratio",32
"2010-2012","S01001966","Not Known If Smoking","Ratio","21.69"
"2004-2006","S01001966","Never Smoked","Ratio","70.21"
"2000-2002","S01001966","Current Smoker","Ratio","25.64"
"2002-2004","S01001966","Current Smoker","Ratio","41.18"
"2001-2003","S01001966","Never Smoked","Ratio",25
"2000-2002","S01001966","Not Known If Smoking","Ratio","53.85"
"2010-2012","S01001966","Never Smoked","Ratio","36.14"
"2005-2007","S01001966","Never Smoked","Ratio","66.1"
"2006-2008","S01001966","Never Smoked","Ratio","66.18"
"2004-2006","S01001966","Current Smoker","Ratio","27.66"
"2011-2013","S01001966","Never Smoked","Ratio","45.45"
"2011-2013","S01001966","Not Known If Smoking","Ratio","4.55"
"2001-2003","S01001967","Former Smoker","Count",0
"2004-2006","S01001967","Former Smoker","Count",0
"2000-2002","S01001967","Former Smoker","Count",0
"2009-2011","S01001967","Former Smoker","Count",6
"2002-2004","S01001967","Former Smoker","Count",0
"2007-2009","S01001967","Former Smoker","Count",7
"2005-2007","S01001967","Former Smoker","Count",2
"2008-2010","S01001967","Former Smoker","Count",7
"2010-2012","S01001967","Former Smoker","Count",12
"2003-2005","S01001967","Former Smoker","Count",0
"2011-2013","S01001967","Former Smoker","Count",12
"2006-2008","S01001967","Former Smoker","Count",7
"2009-2011","S01001967","Never Smoked","Count",26
"2002-2004","S01001967","Never Smoked","Count",22
"2007-2009","S01001967","Never Smoked","Count",24
"2008-2010","S01001967","Never Smoked","Count",25
"2000-2002","S01001967","Never Smoked","Count",8
"2003-2005","S01001967","Never Smoked","Count",22
"2004-2006","S01001967","Never Smoked","Count",26
"2001-2003","S01001967","Never Smoked","Count",10
"2011-2013","S01001967","Never Smoked","Count",21
"2005-2007","S01001967","Never Smoked","Count",18
"2006-2008","S01001967","Never Smoked","Count",25
"2010-2012","S01001967","Never Smoked","Count",19
"2001-2003","S01001967","Not Known If Smoking","Count",13
"2002-2004","S01001967","Not Known If Smoking","Count",8
"2003-2005","S01001967","Not Known If Smoking","Count",2
"2004-2006","S01001967","Not Known If Smoking","Count",0
"2005-2007","S01001967","Not Known If Smoking","Count",2
"2006-2008","S01001967","Not Known If Smoking","Count",3
"2007-2009","S01001967","Not Known If Smoking","Count",7
"2008-2010","S01001967","Not Known If Smoking","Count",11
"2009-2011","S01001967","Not Known If Smoking","Count",10
"2010-2012","S01001967","Not Known If Smoking","Count",6
"2000-2002","S01001967","Not Known If Smoking","Count",16
"2011-2013","S01001967","Not Known If Smoking","Count",0
"2006-2008","S01001967","Current Smoker","Count",4
"2002-2004","S01001967","Current Smoker","Count",4
"2005-2007","S01001967","Current Smoker","Count",4
"2010-2012","S01001967","Current Smoker","Count",7
"2000-2002","S01001967","Current Smoker","Count",4
"2004-2006","S01001967","Current Smoker","Count",3
"2003-2005","S01001967","Current Smoker","Count",4
"2001-2003","S01001967","Current Smoker","Count",4
"2011-2013","S01001967","Current Smoker","Count",11
"2008-2010","S01001967","Current Smoker","Count",4
"2009-2011","S01001967","Current Smoker","Count",3
"2007-2009","S01001967","Current Smoker","Count",4
"2001-2003","S01001967","Not Known If Smoking","Ratio","48.15"
"2000-2002","S01001967","Former Smoker","Ratio",0
"2003-2005","S01001967","Current Smoker","Ratio","14.29"
"2004-2006","S01001967","Former Smoker","Ratio",0
"2002-2004","S01001967","Not Known If Smoking","Ratio","23.53"
"2009-2011","S01001967","Current Smoker","Ratio","6.67"
"2007-2009","S01001967","Former Smoker","Ratio","16.67"
"2006-2008","S01001967","Current Smoker","Ratio","10.26"
"2003-2005","S01001967","Not Known If Smoking","Ratio","7.14"
"2004-2006","S01001967","Not Known If Smoking","Ratio",0
"2005-2007","S01001967","Current Smoker","Ratio","15.38"
"2002-2004","S01001967","Former Smoker","Ratio",0
"2005-2007","S01001967","Not Known If Smoking","Ratio","7.69"
"2005-2007","S01001967","Former Smoker","Ratio","7.69"
"2003-2005","S01001967","Former Smoker","Ratio",0
"2001-2003","S01001967","Current Smoker","Ratio","14.81"
"2008-2010","S01001967","Former Smoker","Ratio","14.89"
"2006-2008","S01001967","Not Known If Smoking","Ratio","7.69"
"2010-2012","S01001967","Former Smoker","Ratio","27.27"
"2011-2013","S01001967","Former Smoker","Ratio","27.27"
"2006-2008","S01001967","Former Smoker","Ratio","17.95"
"2001-2003","S01001967","Former Smoker","Ratio",0
"2007-2009","S01001967","Current Smoker","Ratio","9.52"
"2009-2011","S01001967","Former Smoker","Ratio","13.33"
"2010-2012","S01001967","Current Smoker","Ratio","15.91"
"2002-2004","S01001967","Never Smoked","Ratio","64.71"
"2007-2009","S01001967","Never Smoked","Ratio","57.14"
"2007-2009","S01001967","Not Known If Smoking","Ratio","16.67"
"2008-2010","S01001967","Not Known If Smoking","Ratio","23.4"
"2011-2013","S01001967","Current Smoker","Ratio",25
"2008-2010","S01001967","Never Smoked","Ratio","53.19"
"2009-2011","S01001967","Never Smoked","Ratio","57.78"
"2000-2002","S01001967","Never Smoked","Ratio","28.57"
"2008-2010","S01001967","Current Smoker","Ratio","8.51"
"2003-2005","S01001967","Never Smoked","Ratio","78.57"
"2009-2011","S01001967","Not Known If Smoking","Ratio","22.22"
"2010-2012","S01001967","Not Known If Smoking","Ratio","13.64"
"2004-2006","S01001967","Never Smoked","Ratio","89.66"
"2000-2002","S01001967","Current Smoker","Ratio","14.29"
"2002-2004","S01001967","Current Smoker","Ratio","11.76"
"2001-2003","S01001967","Never Smoked","Ratio","37.04"
"2000-2002","S01001967","Not Known If Smoking","Ratio","57.14"
"2010-2012","S01001967","Never Smoked","Ratio","43.18"
"2005-2007","S01001967","Never Smoked","Ratio","69.23"
"2006-2008","S01001967","Never Smoked","Ratio","64.1"
"2004-2006","S01001967","Current Smoker","Ratio","10.34"
"2011-2013","S01001967","Never Smoked","Ratio","47.73"
"2011-2013","S01001967","Not Known If Smoking","Ratio",0
"2001-2003","S01001968","Former Smoker","Count",2
"2004-2006","S01001968","Former Smoker","Count",0
"2000-2002","S01001968","Former Smoker","Count",0
"2009-2011","S01001968","Former Smoker","Count",4
"2002-2004","S01001968","Former Smoker","Count",2
"2007-2009","S01001968","Former Smoker","Count",2
"2005-2007","S01001968","Former Smoker","Count",1
"2008-2010","S01001968","Former Smoker","Count",3
"2010-2012","S01001968","Former Smoker","Count",6
"2003-2005","S01001968","Former Smoker","Count",2
"2011-2013","S01001968","Former Smoker","Count",6
"2006-2008","S01001968","Former Smoker","Count",2
"2009-2011","S01001968","Never Smoked","Count",21
"2002-2004","S01001968","Never Smoked","Count",19
"2007-2009","S01001968","Never Smoked","Count",23
"2008-2010","S01001968","Never Smoked","Count",24
"2000-2002","S01001968","Never Smoked","Count",10
"2003-2005","S01001968","Never Smoked","Count",27
"2004-2006","S01001968","Never Smoked","Count",26
"2001-2003","S01001968","Never Smoked","Count",10
"2011-2013","S01001968","Never Smoked","Count",13
"2005-2007","S01001968","Never Smoked","Count",24
"2006-2008","S01001968","Never Smoked","Count",16
"2010-2012","S01001968","Never Smoked","Count",17
"2001-2003","S01001968","Not Known If Smoking","Count",8
"2002-2004","S01001968","Not Known If Smoking","Count",3
"2003-2005","S01001968","Not Known If Smoking","Count",2
"2004-2006","S01001968","Not Known If Smoking","Count",0
"2005-2007","S01001968","Not Known If Smoking","Count",0
"2006-2008","S01001968","Not Known If Smoking","Count",0
"2007-2009","S01001968","Not Known If Smoking","Count",4
"2008-2010","S01001968","Not Known If Smoking","Count",6
"2009-2011","S01001968","Not Known If Smoking","Count",6
"2010-2012","S01001968","Not Known If Smoking","Count",2
"2000-2002","S01001968","Not Known If Smoking","Count",9
"2011-2013","S01001968","Not Known If Smoking","Count",1
"2006-2008","S01001968","Current Smoker","Count",1
"2002-2004","S01001968","Current Smoker","Count",0
"2005-2007","S01001968","Current Smoker","Count",0
"2010-2012","S01001968","Current Smoker","Count",0
"2000-2002","S01001968","Current Smoker","Count",0
"2004-2006","S01001968","Current Smoker","Count",0
"2003-2005","S01001968","Current Smoker","Count",0
"2001-2003","S01001968","Current Smoker","Count",0
"2011-2013","S01001968","Current Smoker","Count",0
"2008-2010","S01001968","Current Smoker","Count",1
"2009-2011","S01001968","Current Smoker","Count",0
"2007-2009","S01001968","Current Smoker","Count",1
"2001-2003","S01001968","Not Known If Smoking","Ratio",40
"2000-2002","S01001968","Former Smoker","Ratio",0
"2003-2005","S01001968","Current Smoker","Ratio",0
"2004-2006","S01001968","Former Smoker","Ratio",0
"2002-2004","S01001968","Not Known If Smoking","Ratio","12.5"
"2009-2011","S01001968","Current Smoker","Ratio",0
"2007-2009","S01001968","Former Smoker","Ratio","6.67"
"2006-2008","S01001968","Current Smoker","Ratio","5.26"
"2003-2005","S01001968","Not Known If Smoking","Ratio","6.45"
"2004-2006","S01001968","Not Known If Smoking","Ratio",0
"2005-2007","S01001968","Current Smoker","Ratio",0
"2002-2004","S01001968","Former Smoker","Ratio","8.33"
"2005-2007","S01001968","Not Known If Smoking","Ratio",0
"2005-2007","S01001968","Former Smoker","Ratio",4
"2003-2005","S01001968","Former Smoker","Ratio","6.45"
"2001-2003","S01001968","Current Smoker","Ratio",0
"2008-2010","S01001968","Former Smoker","Ratio","8.82"
"2006-2008","S01001968","Not Known If Smoking","Ratio",0
"2010-2012","S01001968","Former Smoker","Ratio",24
"2011-2013","S01001968","Former Smoker","Ratio",30
"2006-2008","S01001968","Former Smoker","Ratio","10.53"
"2001-2003","S01001968","Former Smoker","Ratio",10
"2007-2009","S01001968","Current Smoker","Ratio","3.33"
"2009-2011","S01001968","Former Smoker","Ratio","12.9"
"2010-2012","S01001968","Current Smoker","Ratio",0
"2002-2004","S01001968","Never Smoked","Ratio","79.17"
"2007-2009","S01001968","Never Smoked","Ratio","76.67"
"2007-2009","S01001968","Not Known If Smoking","Ratio","13.33"
"2008-2010","S01001968","Not Known If Smoking","Ratio","17.65"
"2011-2013","S01001968","Current Smoker","Ratio",0
"2008-2010","S01001968","Never Smoked","Ratio","70.59"
"2009-2011","S01001968","Never Smoked","Ratio","67.74"
"2000-2002","S01001968","Never Smoked","Ratio","52.63"
"2008-2010","S01001968","Current Smoker","Ratio","2.94"
"2003-2005","S01001968","Never Smoked","Ratio","87.1"
"2009-2011","S01001968","Not Known If Smoking","Ratio","19.35"
"2010-2012","S01001968","Not Known If Smoking","Ratio",8
"2004-2006","S01001968","Never Smoked","Ratio",100
"2000-2002","S01001968","Current Smoker","Ratio",0
"2002-2004","S01001968","Current Smoker","Ratio",0
"2001-2003","S01001968","Never Smoked","Ratio",50
"2000-2002","S01001968","Not Known If Smoking","Ratio","47.37"
"2010-2012","S01001968","Never Smoked","Ratio",68
"2005-2007","S01001968","Never Smoked","Ratio",96
"2006-2008","S01001968","Never Smoked","Ratio","84.21"
"2004-2006","S01001968","Current Smoker","Ratio",0
"2011-2013","S01001968","Never Smoked","Ratio",65
"2011-2013","S01001968","Not Known If Smoking","Ratio",5
"2001-2003","S01001969","Former Smoker","Count",0
"2004-2006","S01001969","Former Smoker","Count",0
"2000-2002","S01001969","Former Smoker","Count",0
"2009-2011","S01001969","Former Smoker","Count",0
"2002-2004","S01001969","Former Smoker","Count",0
"2007-2009","S01001969","Former Smoker","Count",0
"2005-2007","S01001969","Former Smoker","Count",0
"2008-2010","S01001969","Former Smoker","Count",0
"2010-2012","S01001969","Former Smoker","Count",4
"2003-2005","S01001969","Former Smoker","Count",0
"2011-2013","S01001969","Former Smoker","Count",4
"2006-2008","S01001969","Former Smoker","Count",0
"2009-2011","S01001969","Never Smoked","Count",10
"2002-2004","S01001969","Never Smoked","Count",7
"2007-2009","S01001969","Never Smoked","Count",8
"2008-2010","S01001969","Never Smoked","Count",10
"2000-2002","S01001969","Never Smoked","Count",5
"2003-2005","S01001969","Never Smoked","Count",13
"2004-2006","S01001969","Never Smoked","Count",15
"2001-2003","S01001969","Never Smoked","Count",3
"2011-2013","S01001969","Never Smoked","Count",14
"2005-2007","S01001969","Never Smoked","Count",13
"2006-2008","S01001969","Never Smoked","Count",10
"2010-2012","S01001969","Never Smoked","Count",13
"2001-2003","S01001969","Not Known If Smoking","Count",7
"2002-2004","S01001969","Not Known If Smoking","Count",5
"2003-2005","S01001969","Not Known If Smoking","Count",2
"2004-2006","S01001969","Not Known If Smoking","Count",0
"2005-2007","S01001969","Not Known If Smoking","Count",1
"2006-2008","S01001969","Not Known If Smoking","Count",1
"2007-2009","S01001969","Not Known If Smoking","Count",4
"2008-2010","S01001969","Not Known If Smoking","Count",4
"2009-2011","S01001969","Not Known If Smoking","Count",4
"2010-2012","S01001969","Not Known If Smoking","Count",1
"2000-2002","S01001969","Not Known If Smoking","Count",6
"2011-2013","S01001969","Not Known If Smoking","Count",0
"2006-2008","S01001969","Current Smoker","Count",4
"2002-2004","S01001969","Current Smoker","Count",0
"2005-2007","S01001969","Current Smoker","Count",5
"2010-2012","S01001969","Current Smoker","Count",5
"2000-2002","S01001969","Current Smoker","Count",3
"2004-2006","S01001969","Current Smoker","Count",3
"2003-2005","S01001969","Current Smoker","Count",2
"2001-2003","S01001969","Current Smoker","Count",1
"2011-2013","S01001969","Current Smoker","Count",4
"2008-2010","S01001969","Current Smoker","Count",3
"2009-2011","S01001969","Current Smoker","Count",4
"2007-2009","S01001969","Current Smoker","Count",4
"2001-2003","S01001969","Not Known If Smoking","Ratio","63.64"
"2000-2002","S01001969","Former Smoker","Ratio",0
"2003-2005","S01001969","Current Smoker","Ratio","11.76"
"2004-2006","S01001969","Former Smoker","Ratio",0
"2002-2004","S01001969","Not Known If Smoking","Ratio","41.67"
"2009-2011","S01001969","Current Smoker","Ratio","22.22"
"2007-2009","S01001969","Former Smoker","Ratio",0
"2006-2008","S01001969","Current Smoker","Ratio","26.67"
"2003-2005","S01001969","Not Known If Smoking","Ratio","11.76"
"2004-2006","S01001969","Not Known If Smoking","Ratio",0
"2005-2007","S01001969","Current Smoker","Ratio","26.32"
"2002-2004","S01001969","Former Smoker","Ratio",0
"2005-2007","S01001969","Not Known If Smoking","Ratio","5.26"
"2005-2007","S01001969","Former Smoker","Ratio",0
"2003-2005","S01001969","Former Smoker","Ratio",0
"2001-2003","S01001969","Current Smoker","Ratio","9.09"
"2008-2010","S01001969","Former Smoker","Ratio",0
"2006-2008","S01001969","Not Known If Smoking","Ratio","6.67"
"2010-2012","S01001969","Former Smoker","Ratio","17.39"
"2011-2013","S01001969","Former Smoker","Ratio","18.18"
"2006-2008","S01001969","Former Smoker","Ratio",0
"2001-2003","S01001969","Former Smoker","Ratio",0
"2007-2009","S01001969","Current Smoker","Ratio",25
"2009-2011","S01001969","Former Smoker","Ratio",0
"2010-2012","S01001969","Current Smoker","Ratio","21.74"
"2002-2004","S01001969","Never Smoked","Ratio","58.33"
"2007-2009","S01001969","Never Smoked","Ratio",50
"2007-2009","S01001969","Not Known If Smoking","Ratio",25
"2008-2010","S01001969","Not Known If Smoking","Ratio","23.53"
"2011-2013","S01001969","Current Smoker","Ratio","18.18"
"2008-2010","S01001969","Never Smoked","Ratio","58.82"
"2009-2011","S01001969","Never Smoked","Ratio","55.56"
"2000-2002","S01001969","Never Smoked","Ratio","35.71"
"2008-2010","S01001969","Current Smoker","Ratio","17.65"
"2003-2005","S01001969","Never Smoked","Ratio","76.47"
"2009-2011","S01001969","Not Known If Smoking","Ratio","22.22"
"2010-2012","S01001969","Not Known If Smoking","Ratio","4.35"
"2004-2006","S01001969","Never Smoked","Ratio","83.33"
"2000-2002","S01001969","Current Smoker","Ratio","21.43"
"2002-2004","S01001969","Current Smoker","Ratio",0
"2001-2003","S01001969","Never Smoked","Ratio","27.27"
"2000-2002","S01001969","Not Known If Smoking","Ratio","42.86"
"2010-2012","S01001969","Never Smoked","Ratio","56.52"
"2005-2007","S01001969","Never Smoked","Ratio","68.42"
"2006-2008","S01001969","Never Smoked","Ratio","66.67"
"2004-2006","S01001969","Current Smoker","Ratio","16.67"
"2011-2013","S01001969","Never Smoked","Ratio","63.64"
"2011-2013","S01001969","Not Known If Smoking","Ratio",0
"2006-2008","S01001970","Former Smoker","Count",0
"2004-2006","S01001970","Former Smoker","Count",0
"2005-2007","S01001970","Former Smoker","Count",0
"2001-2003","S01001970","Former Smoker","Count",0
"2000-2002","S01001970","Former Smoker","Count",1
